Voltage,Percentage
15914,-0.3690058749999947
15758,0.0
15682,0.5009320343915435
15654,0.9506491984127008
15617,1.4216427777777763
15582,1.9065999166666736
15550,2.378044427910042
15514,2.8646570218253897
15488,3.3317228359788453
15462,3.809296857142863
15437,4.290914259259271
15413,4.7535190486111105
15388,5.228561507936513
15367,5.716849227513232
15347,6.203202589285706
15328,6.664121714285709
15310,7.129022519841266
15289,7.65685153009259
15273,8.121458154761907
15258,8.599366416666665
15241,9.17960289186508
15208,10.780344690476184
15213,10.043598452380953
15200,10.565125925925923
15189,10.933729321428576
15176,11.426850499999997
15142,13.169298837962963
15115,14.195914031084655
15131,12.832989382275139
15128,13.232947857142852
15119,13.711313107142853
15105,14.168110376984123
15097,14.629851691798933
15086,15.085700674603174
15075,15.583990624999998
15062,16.100022833333348
15048,16.479207119047622
15038,16.954688579365072
15026,17.38587702645502
15014,17.834412668650813
15000,18.41645833333333
14985,18.812597142857136
14970,19.627828373015866
14934,22.47041544444445
14907,23.34392326884921
14909,22.67681579034392
14910,21.418215000000007
14900,21.799187797619048
14884,22.564567288359804
14871,22.770554866071436
14833,25.936560000000007
14839,23.59263601851852
14823,24.01961271428571
14807,24.53203096792327
14790,25.004123660714296
14768,25.517043121693117
14753,25.96752417328043
14736,26.421004761904765
14718,26.943090079365074
14700,27.456804861111106
14677,27.95451601686507
14661,28.237900500000002
14641,28.8947978392857
14622,29.308043779761896
14586,32.47251660714285
14541,34.63200253273809
14546,30.891115083333332
14531,31.568078535714285
14514,31.663634888888893
14477,35.96381701851852
14470,32.92286750000001
14449,33.564510964285724
14430,33.59332630952381
14410,34.11653273809523
